股票代码,股票名称,最新数据日期,最新收盘价,是否命中,命中策略,选股理由
001306,夏厦精密,2026-07-02,58.43796924,否,,
001308,康冠科技,2026-07-02,40.39240864,否,,
001309,德明利,2026-07-02,2079.458337,否,,
001311,多利科技,2026-07-02,50.40063168,否,,
001312,福恩股份,2026-07-02,19.399584,否,,
001313,粤海饲料,2026-07-02,8.85197742,是,MaVolumeStrategy; TurtleTradeStrategy,5日均线上穿20日均线，且成交量大于20日均量1.5倍。; 收盘价突破前20个交易日高点，成交额过亿，且当日阳线真涨。
001314,亿道信息,2026-07-02,60.00747279,否,,
001316,润贝航科,2026-07-02,68.9725216,否,,
001317,三羊马,2026-07-02,44.78903317,否,,
001318,阳光乳业,2026-07-02,10.9510527,否,,
001319,铭科精技,2026-07-02,23.86119829,否,,
001322,箭牌家居,2026-07-02,6.77809493,是,MaVolumeStrategy,5日均线上穿20日均线，且成交量大于20日均量1.5倍。
001323,慕思股份,2026-07-02,22.3839412,否,,
001324,长青科技,2026-07-02,19.9942665,否,,
001325,元创股份,2026-07-02,38.0706,否,,
001326,联域股份,2026-07-02,61.981677,否,,
001328,登康口腔,2026-07-02,29.43380955,否,,
001330,博纳影业,2026-07-02,5.63,否,,
001331,胜通能源,2026-07-02,214.6275208,是,RpsBreakoutStrategy,相对强度RPS领先，并出现价格突破。
001332,锡装股份,2026-07-02,76.50323724,否,,
001333,光华股份,2026-07-02,20.78789426,否,,
001335,信凯科技,2026-07-02,42.03483765,否,,
001336,楚环科技,2026-07-02,22.64378466,否,,
001337,四川黄金,2026-07-02,38.91172484,否,,
001338,永顺泰,2026-07-02,9.2468151,否,,
001339,智微智能,2026-07-02,123.83095004,否,,
001356,富岭股份,2026-07-02,8.49123924,否,,
001358,兴欣新材,2026-07-02,42.2952532,否,,
001359,平安电工,2026-07-02,155.6751159,否,,
001360,南矿集团,2026-07-02,18.34273107,否,,
001365,天海电子,2026-07-02,41.6,否,,
001366,播恩集团,2026-07-02,11.7303565,否,,
001367,海森药业,2026-07-02,43.39046974,否,,
001368,通达创智,2026-07-02,23.40904068,否,,
001369,双欣材料,2026-07-02,13.6393605,否,,
001373,翔腾新材,2026-07-02,30.61571436,否,,
001376,百通能源,2026-07-02,10.9048918,否,,
001378,德冠新材,2026-07-02,28.37077929,否,,
001379,腾达科技,2026-07-02,16.20610374,否,,
001380,华纬科技,2026-07-02,34.6848306,否,,
